,account,date,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,eating_dev,0주,까르보나라,페코리노,치즈,파스타,야식,,,,,,,,,,,,,,,,,,,,,,,,,
4,lovelyeon7,0주,협찬,청정원,치킨,통살치킨,야식이야,야식,간식,후라이드통살치킨,고추듬뿍통살치킨,치즈솔솔통살치킨,,,,,,,,,,,,,,,,,,,,
5,happypeople____,0주,허니버터인절미후라이,맥도날드,맥날,감튀,감자튀김,인절미,허니버터,단짠단짠,신상과자,야식,군것질,,,,,,,,,,,,,,,,,,,
